Province/State,Country/Region,Lat,Long,1/22/20,2/22/20,3/22/20,4/22/20,5/22/20,6/22/20,7/22/20,8/22/20,9/22/20,10/22/20,11/22/20,12/22/20,1/22/21,2/22/21,3/22/21,4/22/21,5/22/21,6/22/21,7/22/21,8/22/21,9/22/21,10/22/21,11/22/21
,Austria,47.5162,14.5501,0,0,9,11328,15005,16241,17849,21406,30312,53970,169260,309595,378408,421811,475227,565513,621998,636523,640202,640202,640202,640202,640202
,Azerbaijan,40.1431,47.5769,0,0,10,907,2399,7168,20443,32842,36949,40619,63841,147199,219019,227836,233087,272575,319991,329710,331629,331629,331629,331629,331629
,Bahamas,25.025885,-78.035889,0,0,0,12,44,77,91,227,1871,3705,5652,6166,6720,7181,7734,9140,10221,11356,12158,12158,12158,12158,12158
,Bahrain,26.0275,50.55,0,0,149,1026,4096,16862,33894,45589,59367,75840,83829,88666,95902,110827,129242,156981,193337,256063,266036,266036,266036,266036,266036
,Bangladesh,23.685,90.3563,0,0,3,92,6190,46755,117202,175567,260790,310532,362428,441929,475561,492059,523859,642449,729798,788385,969610,969610,969610,969610,969610
,Barbados,13.1939,-59.5432,0,0,0,25,70,85,94,126,173,207,241,284,493,2035,3358,3716,3922,3988,4098,4098,4098,4098,4098
,Belarus,53.7098,27.9534,0,0,15,769,12833,37923,59061,68577,73386,81501,103848,154807,218831,269428,302168,338927,374854,404240,431489,431489,431489,431489,431489
,Belgium,50.8333,4.469936,0,1,263,9433,15123,16771,17347,18204,19039,22213,22214,22215,22216,22217,22218,22219,22220,22221,22222,22223,22224,22225,22226
,Belize,17.1899,-88.4976,0,0,0,2,16,17,23,44,967,1826,2842,8802,11009,11787,12031,12164,12358,12572,13201,13201,13201,13201,13201
,Benin,9.3077,2.3158,0,0,0,27,61,253,782,1705,1954,2330,2579,3061,3317,4248,5552,7510,7893,8000,8125,8125,8125,8125,8125
